Ruby Gem: actionmailer,Email composition delivery and receiving framework (part of Rails).,MIT,http://www.rubyonrails.org
Ruby Gem: actionpack,Web-flow and rendering framework putting the VC in MVC (part of Rails).,MIT,http://www.rubyonrails.org
Ruby Gem: actionview,Rendering framework putting the V in MVC (part of Rails).,MIT,http://www.rubyonrails.org
Ruby Gem: activejob,Job framework with pluggable queues.,MIT,http://www.rubyonrails.org
Ruby Gem: activemodel,A toolkit for building modeling frameworks (part of Rails).,MIT,http://www.rubyonrails.org
Ruby Gem: activerecord,Object-relational mapper framework (part of Rails).,MIT,http://www.rubyonrails.org
Ruby Gem: activesupport,A toolkit of support libraries and Ruby core extensions extracted from the Rails framework.,MIT,http://www.rubyonrails.org
Ruby Gem: airbrake,Send your application errors to our hosted service and reclaim your inbox.,MIT,http://www.airbrake.io
Ruby Gem: akami,Web Service Security,MIT,https://github.com/savonrb/akami
Ruby Gem: arel,Arel Really Exasperates Logicians  Arel is a SQL AST manager for Ruby,MIT,https://github.com/rails/arel
Ruby Gem: auto_localize,Machine-translates an application by generating a config/locales/<target-language>.yml file from a config/locales/<source-language>.yml using Bing to translate strings from the source file automatically,MIT,https://github.com/caiosba/auto_localize
Ruby Gem: awesome_print,Pretty print Ruby objects with proper indentation and colors,MIT,http://github.com/michaeldv/awesome_print
Ruby Gem: binding_of_caller,Retrieve the binding of a method's caller. Can also retrieve bindings even further up the stack.,MIT,http://github.com/banister/binding_of_caller
Ruby Gem: bing_translator,Translate using the Bing HTTP API,MIT,https://www.github.com/relrod/bing_translator-gem
Ruby Gem: blankslate,BlankSlate extracted from Builder.,MIT,http://github.com/masover/blankslate
Ruby Gem: builder,Builders for MarkUp.,MIT,http://onestepback.org
Ruby Gem: bundler,The best way to manage your application's dependencies,MIT,http://bundler.io
Ruby Gem: codeclimate-test-reporter,Uploads Ruby test coverage data to Code Climate.,MIT,https://github.com/codeclimate/ruby-test-reporter
Ruby Gem: coffee-rails,CoffeeScript adapter for the Rails asset pipeline.,MIT,https://github.com/rails/coffee-rails
Ruby Gem: coffee-script,Ruby CoffeeScript Compiler,MIT,http://github.com/josh/ruby-coffee-script
Ruby Gem: coffee-script-source,The CoffeeScript Compiler,MIT,http://jashkenas.github.com/coffee-script/
Ruby Gem: concurrent-ruby,Modern concurrency tools for Ruby. Inspired by Erlang Clojure Scala Haskell F# C# Java and classic concurrency patterns.,MIT,http://www.concurrent-ruby.com
Ruby Gem: crack,Really simple JSON and XML parsing ripped from Merb and Rails.,MIT,http://github.com/jnunemaker/crack
Ruby Gem: daemons,A toolkit to create and control daemons in different ways,MIT,https://github.com/thuehlinger/daemons
Ruby Gem: debug_inspector,A Ruby wrapper for the MRI 2.0 debug_inspector API,MIT,https://github.com/banister/debug_inspector
Ruby Gem: docile,Docile keeps your Ruby DSLs tame and well-behaved,MIT,https://ms-ati.github.io/docile/
Ruby Gem: erubis,a fast and extensible eRuby implementation which supports multi-language,MIT,http://www.kuwata-lab.com/erubis/
Ruby Gem: execjs,Run JavaScript code from Ruby,MIT,https://github.com/rails/execjs
Ruby Gem: faraday,HTTP/REST API client library.,MIT,https://github.com/lostisland/faraday
Ruby Gem: gem-licenses,Attempts to figure out what licenses various gems use.,MIT,http://github.com/dblock/gem-licenses
Ruby Gem: globalid,Refer to any model with a URI: gid://app/class/id,MIT,http://www.rubyonrails.org
Ruby Gem: gyoku,Translates Ruby Hashes to XML,MIT,https://github.com/savonrb/gyoku
Ruby Gem: hashdiff,HashDiff is a diff lib to compute the smallest difference between two hashes.,MIT,https://github.com/liufengyun/hashdiff
Ruby Gem: httpi,Common interface for Ruby's HTTP libraries,MIT,http://github.com/savonrb/httpi
Ruby Gem: i18n,New wave Internationalization support for Ruby,MIT,http://github.com/svenfuchs/i18n
Ruby Gem: jbuilder,Create JSON structures via a Builder-style DSL,MIT,https://github.com/rails/jbuilder
Ruby Gem: jquery-rails,Use jQuery with Rails 4+,MIT,http://rubygems.org/gems/jquery-rails
Ruby Gem: literate_randomizer,A random sentence and paragraph generator gem. Using Markov chains this generates near-english prose.,MIT,https://github.com/Imikimi-LLC/literate_randomizer
Ruby Gem: logstasher,Awesome rails logs,MIT,https://github.com/shadabahmed/logstasher
Ruby Gem: loofah,Loofah is a general library for manipulating and transforming HTML/XML documents and fragments,MIT,https://github.com/flavorjones/loofah
Ruby Gem: mail,Mail provides a nice Ruby DSL for making sending and reading emails.,MIT,https://github.com/mikel/mail
Ruby Gem: metaclass,Adds a metaclass method to all Ruby objects,MIT,http://github.com/floehopper/metaclass
